Company,Ticker,SourceTicker,Date,Open,High,Low,Close,Volume
Apple,AAPL,AAPL,2020-01-02,71.41,72.46,71.16,72.4,135480400
Apple,AAPL,AAPL,2020-01-03,71.63,72.46,71.47,71.7,146322800
Apple,AAPL,AAPL,2020-01-06,70.82,72.31,70.57,72.27,118387200
Apple,AAPL,AAPL,2020-01-07,72.28,72.53,71.71,71.93,108872000
Apple,AAPL,AAPL,2020-01-08,71.63,73.39,71.63,73.09,132079200
Apple,AAPL,AAPL,2020-01-09,74.06,74.83,73.81,74.64,170108400
Apple,AAPL,AAPL,2020-01-10,74.87,75.37,74.3,74.81,140644800
Apple,AAPL,AAPL,2020-01-13,75.12,76.43,75.0,76.4,121532000
Apple,AAPL,AAPL,2020-01-14,76.34,76.55,75.25,75.37,161954400
Apple,AAPL,AAPL,2020-01-15,75.17,76.05,74.62,75.05,121923600
Apple,AAPL,AAPL,2020-01-16,75.59,76.1,75.23,75.99,108829200
Apple,AAPL,AAPL,2020-01-17,76.24,76.83,75.93,76.83,137816400
Apple,AAPL,AAPL,2020-01-21,76.46,76.9,76.17,76.31,110843200
Apple,AAPL,AAPL,2020-01-22,76.79,77.13,76.49,76.58,101832400
Apple,AAPL,AAPL,2020-01-23,76.64,77.03,76.09,76.95,104472000
Apple,AAPL,AAPL,2020-01-24,77.2,77.94,76.54,76.73,146537600
Apple,AAPL,AAPL,2020-01-27,74.74,75.15,73.49,74.47,161940000
Apple,AAPL,AAPL,2020-01-28,75.35,76.75,75.25,76.58,162234000
Apple,AAPL,AAPL,2020-01-29,78.21,79.03,77.47,78.18,216229200
Apple,AAPL,AAPL,2020-01-30,77.27,78.12,76.84,78.07,126743200
Apple,AAPL,AAPL,2020-01-31,77.36,77.78,74.31,74.61,199588400
Apple,AAPL,AAPL,2020-02-03,73.35,75.57,72.85,74.4,173788400
Apple,AAPL,AAPL,2020-02-04,76.01,77.05,75.6,76.86,136616400
Apple,AAPL,AAPL,2020-02-05,77.99,78.28,76.88,77.49,118826800
Apple,AAPL,AAPL,2020-02-06,77.76,78.4,77.2,78.39,105425600
